# z rho(z) P(z) g(z) n(z) K(z)
6.447567859815581273e+22 2.642206170208164573e-29 3.633521670299472523e-15 2.006085226919672557e-09 2.631731877336365816e-05 1.130244075808002710e+09
7.069617576441349249e+22 2.420691708365317973e-29 3.328898357226481824e-15 1.867156911987989305e-09 2.411095548083943879e-05 1.198184560907332897e+09
7.751681527638551377e+22 2.214354537323165441e-29 3.045146623231067385e-15 1.727964965699634933e-09 2.205576343476130214e-05 1.271506554744128227e+09
8.499549778501621200e+22 2.023363408681453036e-29 2.782498532942207833e-15 1.591935371787444492e-09 2.015342346143800530e-05 1.350311956258706570e+09
9.319571009160647121e+22 1.847451216315465136e-29 2.540586766086652665e-15 1.461596625383582425e-09 1.840127508830320281e-05 1.434722981033126116e+09
1.021870640895276802e+23 1.686047447272757296e-29 2.318626761944173104e-15 1.338612231454928393e-09 1.679363580223467947e-05 1.524884135978603601e+09
1.120458877020531337e+23 1.538234684551780817e-29 2.115356902631419778e-15 1.223899089894377889e-09 1.532136780166717222e-05 1.621069523955320597e+09
1.228558728328098727e+23 1.403130927651402961e-29 1.929564274496833118e-15 1.117789145720741431e-09 1.397568604605074603e-05 1.723526278107121229e+09
1.347087858293156212e+23 1.279821078262347517e-29 1.759990448287352748e-15 1.020197800755135636e-09 1.274747582882475208e-05 1.832527645948495388e+09
1.477052464907663673e+23 1.167241327269319453e-29 1.605172489915141793e-15 9.307739189867942959e-10 1.162614123059542373e-05 1.948541248580324888e+09
1.619555822330796887e+23 1.064531240513406591e-29 1.463927143433892024e-15 8.490184153293868373e-10 1.060311201929726181e-05 2.071942824831792593e+09
1.775807646622475574e+23 9.709026373792798465e-30 1.335170514869620685e-15 7.743685153636029412e-10 9.670537634009440954e-06 2.203093455741209507e+09
1.947134365065882915e+23 8.854780575767301474e-30 1.217695934199658593e-15 7.062515009866045576e-10 8.819678256307198866e-06 2.342600177309865952e+09
2.134990376255841370e+23 8.075422789933731760e-30 1.110519838871723188e-15 6.441150246387962941e-10 8.043410018061844904e-06 2.490996944705312729e+09
2.340970396540059884e+23 7.364955823001527518e-30 1.012817504001438580e-15 5.874415794601490489e-10 7.335759500190768096e-06 2.648723411417638779e+09
2.566822997622857233e+23 6.717113425494389523e-30 9.237272045076827897e-16 5.357535123989872044e-10 6.690485294024173426e-06 2.816403787637527943e+09
2.814465450252347711e+23 6.125875062501971781e-30 8.424210056020884288e-16 4.886131036453413122e-10 6.101590731391034980e-06 2.994823857886510849e+09
3.086000000000005557e+23 5.586685626596826950e-30 7.682724958511047942e-16 4.456204644520009207e-10 5.564538762322781855e-06 3.184543742246850014e+09
3.383731713297867730e+23 5.095472379096498077e-30 7.007215984360857037e-16 4.064106966831799805e-10 5.075272793378850114e-06 3.386052907908244610e+09
3.710188045229327647e+23 4.647140285216516852e-30 6.390676519359416524e-16 3.706509609955037950e-10 4.628717987625766305e-06 3.600472672779154301e+09
4.068140295185089167e+23 4.238049487166721646e-30 5.828101086528250353e-16 3.380376940895721606e-10 4.221248916479134684e-06 3.828594389256149769e+09
4.460627132521941408e+23 3.865152787998057731e-30 5.315299227048170796e-16 3.082940411245970547e-10 3.849830462756287487e-06 4.071042131071445465e+09
4.890980391934996492e+23 3.525211289852440173e-30 4.847816857930526685e-16 2.811675072147638093e-10 3.511236568310563815e-06 4.328724432429573059e+09
5.362853357520606336e+23 3.214926511188010989e-30 4.421117957612519782e-16 2.564278142545607541e-10 3.202181827514503331e-06 4.602947353239559174e+09
5.880251775634605594e+23 2.931802838122114348e-30 4.031770595904303331e-16 2.338649461125044275e-10 2.920180519653891823e-06 4.894708884565128326e+09
6.447567859815580938e+23 2.673974003216320234e-30 3.677208310257812128e-16 2.132873657999901697e-10 2.663373775589473986e-06 5.204494898583232880e+09
7.069617576441349921e+23 2.439033204497981706e-30 3.354121303268765188e-16 1.945203895072603963e-10 2.429364334446883137e-06 5.533563514017642975e+09
7.751681527638551377e+23 2.224254945503651053e-30 3.058761513724556231e-16 1.774047037063554101e-10 2.215437504236788579e-06 5.884284527882179260e+09
8.499549778501619857e+23 2.028441779021169356e-30 2.789482230462568917e-16 1.617950127329186408e-10 2.020400584694086922e-06 6.257127573020150185e+09
9.319571009160646115e+23 1.849989230970402804e-30 2.544077005172547607e-16 1.475588053661495147e-10 1.842655462230724324e-06 6.653302058058199883e+09
1.021870640895277037e+24 1.687278128635891557e-30 2.320319176204877506e-16 1.345752299363376096e-10 1.680589382891981463e-06 7.074443073940242767e+09
1.120458877020531405e+24 1.538748999850026515e-30 2.116064181193786808e-16 1.227340684107540283e-10 1.532649056604739616e-06 7.522661471792633057e+09
1.228558728328098592e+24 1.403150919782236189e-30 1.929591767370567835e-16 1.119348007488567544e-10 1.397588517482655179e-06 7.999824338194344521e+09
1.347087858293156346e+24 1.279738874903806603e-30 1.759877403481085045e-16 1.020857515841015593e-10 1.274665705396329101e-06 8.506204100277069092e+09
1.477052464907663605e+24 1.167430283194766102e-30 1.605432339225003878e-16 9.310331198849553910e-11 1.162802329921677713e-06 9.043351354120885849e+09
1.619555822330796619e+24 1.064752350885983991e-30 1.464231211049563864e-16 8.491122971344313545e-11 1.060531435771612973e-06 9.615775217809087753e+09
1.775807646622475776e+24 9.708909648765238150e-31 1.335154463021665628e-16 7.743996188169923664e-11 9.670421371705848970e-07 1.022593594339142227e+10
1.947134365065882781e+24 8.854255558162588221e-31 1.217623734578541616e-16 7.062608463541833673e-11 8.819155319989030827e-07 1.087381664905589676e+10
2.134990376255840967e+24 8.075679456464333376e-31 1.110555135261970730e-16 6.441175472876951816e-11 8.043665667109238908e-07 1.156193861721829033e+10
2.340970396540059615e+24 7.365334921708112340e-31 1.012869637077997449e-16 5.874421849457219372e-11 7.336137096065770460e-07 1.229386314277324486e+10
2.566822997622857031e+24 6.716939177014668746e-31 9.237032421222253440e-17 5.357536401654140527e-11 6.690311736304177932e-07 1.307281445366657829e+10
2.814465450252347778e+24 6.125943239249859715e-31 8.424303811645882742e-17 4.886131270552442738e-11 6.101658637871132461e-07 1.390063784127823067e+10
