# z rho(z) P(z) g(z) n(z) K(z) phi(z)
1.185024000000000000e+21 1.451911271485825685e-26 2.037126595317065314e-11 5.342310018335607366e-11 1.475485000470116125e-02 1.662302791043623090e+08 2.113571545620051956e+10
1.259088000000000000e+21 1.451906916892455272e-26 2.037120485537396853e-11 6.027919895618510295e-11 1.475480575174075229e-02 1.662306114787044525e+08 2.534381719314624023e+10
1.333152000000000000e+21 1.451902021200515686e-26 2.037113616561000784e-11 6.754324632485545594e-11 1.475475599994003489e-02 1.662309851556217968e+08 3.007482413416444397e+10
1.407216000000000000e+21 1.451896553204163850e-26 2.037105944604036630e-11 7.521391753864392097e-11 1.475470043217389123e-02 1.662314025177026391e+08 3.535890197401355743e+10
1.481280000000000000e+21 1.451890481804401544e-26 2.037097426032571660e-11 8.328981543196065054e-11 1.475463873240299637e-02 1.662318659395226240e+08 4.122611560664244080e+10
1.555344000000000000e+21 1.451883776009074837e-26 2.037088017362585735e-11 9.176947096281812333e-11 1.475457058567381831e-02 1.662323777876609266e+08 4.770642378128656006e+10
1.629408000000000000e+21 1.451876404934266537e-26 2.037077675261919380e-11 1.006513437779867623e-10 1.475449567813276811e-02 1.662329404206101596e+08 5.482967379984691620e+10
1.703472000000000000e+21 1.451868337827729745e-26 2.037066356583156806e-11 1.099338228044665542e-10 1.475441369726433576e-02 1.662335561870051026e+08 6.262559625650134277e+10
1.777536000000000000e+21 1.451859544057641734e-26 2.037054018347845169e-11 1.196152268668864645e-10 1.475432433177680837e-02 1.662342274264990091e+08 7.112379982298301697e+10
1.851600000000000000e+21 1.451849993129448301e-26 2.037040617770127709e-11 1.296938053304285008e-10 1.475422727177344052e-02 1.662349564684965611e+08 8.035376608028492737e+10
1.925664000000000000e+21 1.451839654693241892e-26 2.037026112267095780e-11 1.401677387688567719e-10 1.475412220882744117e-02 1.662357456316099167e+08 9.034484439875379944e+10
1.999728000000000000e+21 1.451828498543760448e-26 2.037010459458789825e-11 1.510351396572176614e-10 1.475400883598196496e-02 1.662365972236788869e+08 1.011262468685726166e+11
2.073792000000000000e+21 1.451816494620390567e-26 2.036993617168200019e-11 1.622940530887614909e-10 1.475388684775012955e-02 1.662375135417911410e+08 1.127270432824728394e+11
2.147856000000000000e+21 1.451803613009716224e-26 2.036975543424845118e-11 1.739424575156229175e-10 1.475375594014093072e-02 1.662384968721089363e+08 1.251761561724396820e+11
2.221920000000000000e+21 1.451789823968798781e-26 2.036956196497433815e-11 1.859782655127827427e-10 1.475361581089581695e-02 1.662395494881138802e+08 1.385023559021492615e+11
2.295984000000000000e+21 1.451775097911129030e-26 2.036935534874156839e-11 1.983993245648202273e-10 1.475346615934593035e-02 1.662406736517016590e+08 1.527342558168714600e+11
2.370048000000000000e+21 1.451759405425809039e-26 2.036913517289598112e-11 2.112034178749527549e-10 1.475330668660703413e-02 1.662418716117407680e+08 1.679003074525437317e+11
2.444112000000000000e+21 1.451742717282670265e-26 2.036890102731916358e-11 2.243882651958472241e-10 1.475313709563153518e-02 1.662431456037050486e+08 1.840287958056157227e+11
2.518176000000000000e+21 1.451725004432274125e-26 2.036865250442848012e-11 2.379515236816756880e-10 1.475295709120847884e-02 1.662444978496976495e+08 2.011478346650227661e+11
2.592240000000000000e+21 1.451706238005911137e-26 2.036838919917702047e-11 2.518907887608748080e-10 1.475276637996355070e-02 1.662459305584757030e+08 2.192853620071917725e+11
2.666304000000000000e+21 1.451686389317773972e-26 2.036811070908413115e-11 2.662035950290606740e-10 1.475256467038115089e-02 1.662474459253090620e+08 2.384691354579477234e+11
2.740368000000000000e+21 1.451665429887623037e-26 2.036781663455339527e-11 2.808874171615382413e-10 1.475235167303473247e-02 1.662490461302755177e+08 2.587267278204203186e+11
2.814432000000000000e+21 1.451643331426535321e-26 2.036750657867270046e-11 2.959396708448343962e-10 1.475212710044197968e-02 1.662507333393743932e+08 2.800855226717733154e+11
2.888496000000000000e+21 1.451620065854606551e-26 2.036718014746259979e-11 3.113577137266757539e-10 1.475189066724470234e-02 1.662525097032011449e+08 3.025727100323259888e+11
2.962560000000000000e+21 1.451595605306447831e-26 2.036683694995343347e-11 3.271388463838243026e-10 1.475164209026468692e-02 1.662543773565541506e+08 3.262152820980307617e+11
3.036624000000000000e+21 1.451569922131183350e-26 2.036647659818531268e-11 3.432803133071707763e-10 1.475138108850368966e-02 1.662563384184616804e+08 3.510400290493828735e+11
3.110688000000000000e+21 1.451542988892453535e-26 2.036609870720813898e-11 3.597793039034860487e-10 1.475110738314344694e-02 1.662583949922087491e+08 3.770735349357023926e+11
3.184752000000000000e+21 1.451514778368829461e-26 2.036570289508745270e-11 3.766329535132159533e-10 1.475082069754991322e-02 1.662605491653327644e+08 4.043421736409418945e+11
3.258816000000000000e+21 1.451485263573824092e-26 2.036528878318515093e-11 3.938383444437039014e-10 1.475052075747659321e-02 1.662628030081235468e+08 4.328721049075731812e+11
3.332880000000000000e+21 1.451454417747517744e-26 2.036485599604204077e-11 4.113925070172156385e-10 1.475020729097945883e-02 1.662651585742900670e+08 4.626892704448740845e+11
3.406944000000000000e+21 1.451422214365543902e-26 2.036440416150389392e-11 4.292924206331393947e-10 1.474988002850825992e-02 1.662676179003028274e+08 4.938193901270273438e+11
3.481008000000000000e+21 1.451388627148953501e-26 2.036393291085984434e-11 4.475350148437241898e-10 1.474953870300676345e-02 1.662701830046686232e+08 5.262879582666367188e+11
