# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
1.110960000000000000e+21 1.426862321343007034e-26 2.001981277884211670e-11 4.697620183079790556e-11 1.450029346988322872e-02 2.245322791698016118e+01 1.742025780889846802e+10 8.335839927667599582e-06
1.185024000000000000e+21 1.426858542877670264e-26 2.001975976449903924e-11 5.342310018335607366e-11 1.450025507174528168e-02 2.245326755590413015e+01 2.113571545620051956e+10 8.335839927667599582e-06
1.259088000000000000e+21 1.426854263422807065e-26 2.001969972094481758e-11 6.027919895618510295e-11 1.450021158236969310e-02 2.245331245079375648e+01 2.534381719314624023e+10 8.335839927667599582e-06
1.333152000000000000e+21 1.426849452206030728e-26 2.001963221642271791e-11 6.754324632485545594e-11 1.450016268903628336e-02 2.245336292455732163e+01 3.007482413416444397e+10 8.335839927667599582e-06
1.407216000000000000e+21 1.426844078559954654e-26 2.001955682064923128e-11 7.521391753864392097e-11 1.450010808009193075e-02 2.245341929901880818e+01 3.535890197401355743e+10 8.335839927667599582e-06
1.481280000000000000e+21 1.426838111922193797e-26 2.001947310481406383e-11 8.328981543196065054e-11 1.450004744495056626e-02 2.245348189491994262e+01 4.122611560664244080e+10 8.335839927667599582e-06
1.555344000000000000e+21 1.426831521835363798e-26 2.001938064158018533e-11 9.176947096281812333e-11 1.449998047409318397e-02 2.245355103192229151e+01 4.770642378128656006e+10 8.335839927667599582e-06
1.629408000000000000e+21 1.426824277948449049e-26 2.001927900510296093e-11 1.006513437779867623e-10 1.449990685908173274e-02 2.245362702859518222e+01 5.482967379984691620e+10 8.335839927667599582e-06
1.703472000000000000e+21 1.426816350039833598e-26 2.001916777135333321e-11 1.099338228044665542e-10 1.449982629279316509e-02 2.245371020217638147e+01 6.262559625650134277e+10 8.335839927667599582e-06
1.777536000000000000e+21 1.426807708006246169e-26 2.001904651796268381e-11 1.196152268668864645e-10 1.449973846930709999e-02 2.245380086869052150e+01 7.112379982298301697e+10 8.335839927667599582e-06
1.851600000000000000e+21 1.426798321879316088e-26 2.001891482445515811e-11 1.296938053304285008e-10 1.449964308407406498e-02 2.245389934277790189e+01 8.035376608028492737e+10 8.335839927667599582e-06
1.925664000000000000e+21 1.426788161832823412e-26 2.001877227234934702e-11 1.401677387688567719e-10 1.449953983398916992e-02 2.245400593762106922e+01 9.034484439875379944e+10 8.335839927667599582e-06
1.999728000000000000e+21 1.426777198182698639e-26 2.001861844515832254e-11 1.510351396572176614e-10 1.449942841739211563e-02 2.245412096494747445e+01 1.011262468685726166e+11 8.335839927667599582e-06
2.073792000000000000e+21 1.426765401387023285e-26 2.001845292838962162e-11 1.622940530887614909e-10 1.449930853406718873e-02 2.245424473503226892e+01 1.127270432824728394e+11 8.335839927667599582e-06
2.147856000000000000e+21 1.426752742048537852e-26 2.001827530958044010e-11 1.739424575156229175e-10 1.449917988526875159e-02 2.245437755667487068e+01 1.251761561724396667e+11 8.335839927667599582e-06
