# z rho(z) P(z) g(z) n(z) K(z)
4.125064454757547008e+18 1.150804992171443949e-26 4.747708476906237661e-11 1.786986139491722025e-11 1.146242945249351455e-02 5.901152041035950184e+08
4.173228182104676864e+18 1.150804991929959642e-26 4.747708475909980685e-11 1.807850761621398250e-11 1.146242945008824413e-02 5.901152041861481667e+08
4.221954262999832064e+18 1.150804991682803345e-26 4.747708474890324191e-11 1.828958996404533918e-11 1.146242944762647896e-02 5.901152042706400156e+08
4.271249263411437568e+18 1.150804991429841610e-26 4.747708473846716942e-11 1.850313688230816300e-11 1.146242944510689026e-02 5.901152043571165800e+08
4.321119825971330048e+18 1.150804991170938549e-26 4.747708472778598650e-11 1.871917714700644567e-11 1.146242944252812319e-02 5.901152044456242323e+08
4.371572670869868544e+18 1.150804990905954256e-26 4.747708471685391582e-11 1.893773987012887834e-11 1.146242943988878479e-02 5.901152045362108946e+08
4.422614596761536512e+18 1.150804990634745956e-26 4.747708470566506373e-11 1.915885450357195922e-11 1.146242943718745258e-02 5.901152046289252043e+08
4.474252481680932352e+18 1.150804990357167429e-26 4.747708469421341377e-11 1.938255084310803062e-11 1.146242943442267112e-02 5.901152047238172293e+08
4.526493283969817600e+18 1.150804990073069299e-26 4.747708468249278794e-11 1.960885903240136045e-11 1.146242943159295202e-02 5.901152048209379911e+08
4.579344043214631424e+18 1.150804989782298029e-26 4.747708467049686606e-11 1.983780956706928877e-11 1.146242942869676699e-02 5.901152049203400612e+08
4.632811881195129856e+18 1.150804989484697068e-26 4.747708465821917933e-11 2.006943329879187437e-11 1.146242942573255479e-02 5.901152050220768452e+08
4.686904002844098560e+18 1.150804989180106278e-26 4.747708464565311675e-11 2.030376143946933360e-11 1.146242942269872118e-02 5.901152051262031794e+08
4.741627697218086912e+18 1.150804988868360929e-26 4.747708463279189933e-11 2.054082556542729090e-11 1.146242941959362688e-02 5.901152052327753305e+08
