# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 1.409546532469028338e-26 5.859810643358972597e-11 8.082748700991232221e-11 1.414748062253768680e-02 5.128635681341528296e+08 2.993204935688664913e+09
1.481280000000000000e+20 1.409543487859081955e-26 5.859797986211900236e-11 1.616545084549520479e-10 1.414745006408557083e-02 5.128643066564579010e+08 1.197280250194328690e+10
2.221920000000000000e+20 1.409538413543301500e-26 5.859776891108662218e-11 2.424805987778445835e-10 1.414739913367460064e-02 5.128655375245955586e+08 2.693874097668168640e+10
2.962560000000000000e+20 1.409531309572846520e-26 5.859747358261948653e-11 3.233052924365106950e-10 1.414732783181826652e-02 5.128672607350181937e+08 4.789093415679046631e+10
3.703200000000000000e+20 1.409522176019325743e-26 5.859709387969445040e-11 4.041281239116649243e-10 1.414723615923529562e-02 5.128694762827622890e+08 7.482926136087550354e+10
4.443840000000000000e+20 1.409511012974795356e-26 5.859662980613856830e-11 4.849486277144102836e-10 1.414712411684964505e-02 5.128721841614484787e+08 1.077535674301789246e+11
5.184480000000000000e+20 1.409497820551759009e-26 5.859608136662884865e-11 5.657663383938354181e-10 1.414699170579050529e-02 5.128753843632810712e+08 1.466636627312028503e+11
5.925120000000000000e+20 1.409482598883168385e-26 5.859544856669239598e-11 6.465807905446084342e-10 1.414683892739229849e-02 5.128790768790470958e+08 1.915593231571354370e+11
6.665760000000000000e+20 1.409465348122423199e-26 5.859473141270639800e-11 7.273915188145696937e-10 1.414666578319468369e-02 5.128832616981159449e+08 2.424402901362800903e+11
7.406400000000000000e+20 1.409446068443370629e-26 5.859392991189808683e-11 8.081980579123236259e-10 1.414647227494254637e-02 5.128879388084385991e+08 2.993062706334794922e+11
8.147040000000000000e+20 1.409424760040306174e-26 5.859304407234477774e-11 8.889999426148264553e-10 1.414625840458601236e-02 5.128931081965460181e+08 3.621569371527117310e+11
8.887680000000000000e+20 1.409401423127972792e-26 5.859207390297381749e-11 9.697967077749756868e-10 1.414602417428043220e-02 5.128987698475489616e+08 4.309919277440688477e+11
9.628320000000000000e+20 1.409376057941560902e-26 5.859101941356262310e-11 1.050587888329194112e-09 1.414576958638639678e-02 5.129049237451363206e+08 5.058108460081997070e+11
