# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 7.047732662345133080e-27 2.929905321679483067e-11 8.082748700991232221e-11 7.073740311268834728e-03 8.141201675723192692e+08 2.993204935688664913e+09
1.481280000000000000e+20 7.047717439295401165e-27 2.929898993105946240e-11 1.616545084549520479e-10 7.073725032042776743e-03 8.141213399034030437e+08 1.197280250194328690e+10
2.221920000000000000e+20 7.047692067716498892e-27 2.929888445554327878e-11 2.424805987778445835e-10 7.073699566837291647e-03 8.141232937847797871e+08 2.693874097668168640e+10
2.962560000000000000e+20 7.047656547864223992e-27 2.929873679130970449e-11 3.233052924365106950e-10 7.073663915909125452e-03 8.141260292108173370e+08 4.789093415679046631e+10
3.703200000000000000e+20 7.047610880096621540e-27 2.929854693984719935e-11 4.041281239116649243e-10 7.073618079617640005e-03 8.141295461736370325e+08 7.482926136087550354e+10
4.443840000000000000e+20 7.047555064873968172e-27 2.929831490306925184e-11 4.849486277144102836e-10 7.073562058424814718e-03 8.141338446631120443e+08 1.077535674301789246e+11
5.184480000000000000e+20 7.047489102758786437e-27 2.929804068331439201e-11 5.657663383938354181e-10 7.073495852895244837e-03 8.141389246668674946e+08 1.466636627312028503e+11
5.925120000000000000e+20 7.047412994415833313e-27 2.929772428334616568e-11 6.465807905446084342e-10 7.073419463696141440e-03 8.141447861702790260e+08 1.915593231571354370e+11
6.665760000000000000e+20 7.047326740612107385e-27 2.929736570635316669e-11 7.273915188145696937e-10 7.073332891597333173e-03 8.141514291564712524e+08 2.424402901362800903e+11
7.406400000000000000e+20 7.047230342216844538e-27 2.929696495594901110e-11 8.081980579123236259e-10 7.073236137471264513e-03 8.141588536063176394e+08 2.993062706334794922e+11
8.147040000000000000e+20 7.047123800201522263e-27 2.929652203617235010e-11 8.889999426148264553e-10 7.073129202292997506e-03 8.141670594984372854e+08 3.621569371527117310e+11
8.887680000000000000e+20 7.047007115639855352e-27 2.929603695148686997e-11 9.697967077749756868e-10 7.073012087140207425e-03 8.141760468091952801e+08 4.309919277440688477e+11
9.628320000000000000e+20 7.046880289707795900e-27 2.929550970678127924e-11 1.050587888329194112e-09 7.072884793193189717e-03 8.141858155126992464e+08 5.058108460081997070e+11
1.036896000000000000e+21 7.046743323682383922e-27 2.929494030736451354e-11 1.131373019305010298e-09 7.072747321733692527e-03 8.141963655808870792e+08 5.866132611105732422e+11
1.110960000000000000e+21 7.046596218942840772e-27 2.929432875897032393e-11 1.212151635828641145e-09 7.072599674146030392e-03 8.142076969834394455e+08 6.733987077821918945e+11
1.185024000000000000e+21 7.046438976972479035e-27 2.929367506776518677e-11 1.292923273132564212e-09 7.072441851918988102e-03 8.142198096876316071e+08 7.661666863226218262e+11
1.259088000000000000e+21 7.046271599356270320e-27 2.929297924033819019e-11 1.373687466563094891e-09 7.072273856643386016e-03 8.142327036585170031e+08 8.649166626153177490e+11
1.333152000000000000e+21 7.046094087780819432e-27 2.929224128370093709e-11 1.454443751587951185e-09 7.072095690012053168e-03 8.142463788589270115e+08 9.696480681274218750e+11
1.407216000000000000e+21 7.045906444034360066e-27 2.929146120528753877e-11 1.535191663803823239e-09 7.071907353819822939e-03 8.142608352494685650e+08 1.080360299935559204e+12
1.481280000000000000e+21 7.045708670006760549e-27 2.929063901295461483e-11 1.615930738943931905e-09 7.071708849963536520e-03 8.142760727885205746e+08 1.197052720728722656e+12
1.555344000000000000e+21 7.045500767689522401e-27 2.928977471498127385e-11 1.696660512885585868e-09 7.071500180442043780e-03 8.142920914322304726e+08 1.319724658808273193e+12
1.629408000000000000e+21 7.045282739175774602e-27 2.928886832006916508e-11 1.777380521657736699e-09 7.071281347356200668e-03 8.143088911345114708e+08 1.448375408107045166e+12
1.703472000000000000e+21 7.045054586660282194e-27 2.928791983734242025e-11 1.858090301448525223e-09 7.071052352908868341e-03 8.143264718470386267e+08 1.583004228194293457e+12
1.777536000000000000e+21 7.044816312439440547e-27 2.928692927634767945e-11 1.938789388612822304e-09 7.070813199404918370e-03 8.143448335192446709e+08 1.723610344295594482e+12
1.851600000000000000e+21 7.044567918911276789e-27 2.928589664705411694e-11 2.019477319679770047e-09 7.070563889251226669e-03 8.143639760983170271e+08 1.870192947316211670e+12
1.925664000000000000e+21 7.044309408575452682e-27 2.928482195985338306e-11 2.100153631360310377e-09 7.070304424956678699e-03 8.143838995291929245e+08 2.022751193841095703e+12
1.999728000000000000e+21 7.044040784033258876e-27 2.928370522555965584e-11 2.180817860554714663e-09 7.070034809132164262e-03 8.144046037545551062e+08 2.181284206135694092e+12
2.073792000000000000e+21 7.043762047987619219e-27 2.928254645540960231e-11 2.261469544360100924e-09 7.069755044490581841e-03 8.144260887148281336e+08 2.345791072181869141e+12
2.147856000000000000e+21 7.043473203243087882e-27 2.928134566106242366e-11 2.342108220077950422e-09 7.069465133846836863e-03 8.144483543481726646e+08 2.516270845669182129e+12
2.221920000000000000e+21 7.043174252705855106e-27 2.928010285459980360e-11 2.422733425221615152e-09 7.069165080117841699e-03 8.144714005904817581e+08 2.692722546035107422e+12
