# z rho(z) P(z) g(z) n(z) K(z) phi(z) B(z)
8.147040000000000000e+20 1.451926027074672899e-26 2.037147298374518076e-11 2.530307036287327873e-11 1.475499995635760550e-02 2.219408122262048977e+01 6.876610619681304932e+09 2.148504918418746091e-06
8.887680000000000000e+20 1.451923906497858744e-26 2.037144323066377525e-11 3.010212367382619545e-11 1.475497840628534583e-02 2.219410283267979622e+01 8.925821031099775314e+09 2.148504918418746091e-06
9.628320000000000000e+20 1.451921402262956437e-26 2.037140809460814762e-11 3.531464617615465668e-11 1.475495295734016200e-02 2.219412835253271865e+01 1.134578578442935944e+10 2.148504918418746091e-06
1.036896000000000000e+21 1.451918482721562767e-26 2.037136713153047443e-11 4.093968231259837796e-11 1.475492328789947995e-02 2.219415810473321571e+01 1.416709313793325424e+10 2.148504918418746091e-06
1.110960000000000000e+21 1.451915116293315152e-26 2.037131989833757944e-11 4.697620183079790556e-11 1.475488907703217598e-02 2.219419241115194197e+01 1.742025780890471268e+10 2.148504918418746091e-06
1.185024000000000000e+21 1.451911271485826546e-26 2.037126595317066283e-11 5.342310018335607366e-11 1.475485000470116818e-02 2.219423159277467761e+01 2.113571545619606018e+10 2.148504918418746091e-06
1.259088000000000000e+21 1.451906916892455846e-26 2.037120485537397822e-11 6.027919895618510295e-11 1.475480575174075923e-02 2.219427596972672490e+01 2.534381719314677429e+10 2.148504918418746091e-06
1.333152000000000000e+21 1.451902021200516260e-26 2.037113616561002076e-11 6.754324632485545594e-11 1.475475599994004183e-02 2.219432586119108208e+01 3.007482413417288208e+10 2.148504918418746091e-06
1.407216000000000000e+21 1.451896553204164711e-26 2.037105944604037276e-11 7.521391753864392097e-11 1.475470043217389816e-02 2.219438158527895411e+01 3.535890197400488281e+10 2.148504918418746091e-06
1.481280000000000000e+21 1.451890481804402405e-26 2.037097426032572953e-11 8.328981543196065054e-11 1.475463873240300330e-02 2.219444345903175986e+01 4.122611560662916565e+10 2.148504918418746091e-06
1.555344000000000000e+21 1.451883776009075698e-26 2.037088017362586704e-11 9.176947096281812333e-11 1.475457058567382698e-02 2.219451179842325317e+01 4.770642378128622437e+10 2.148504918418746091e-06
1.629408000000000000e+21 1.451876404934267398e-26 2.037077675261920350e-11 1.006513437779867623e-10 1.475449567813277504e-02 2.219458691834752173e+01 5.482967379986433411e+10 2.148504918418746091e-06
1.703472000000000000e+21 1.451868337827730319e-26 2.037066356583158098e-11 1.099338228044665542e-10 1.475441369726434269e-02 2.219466913238246875e+01 6.262559625652284241e+10 2.148504918418746091e-06
1.777536000000000000e+21 1.451859544057642595e-26 2.037054018347846462e-11 1.196152268668864645e-10 1.475432433177681531e-02 2.219475875290685352e+01 7.112379982299851990e+10 2.148504918418746091e-06
1.851600000000000000e+21 1.451849993129449162e-26 2.037040617770128355e-11 1.296938053304285008e-10 1.475422727177344746e-02 2.219485609093107925e+01 8.035376608029191589e+10 2.148504918418746091e-06
1.925664000000000000e+21 1.451839654693242179e-26 2.037026112267096426e-11 1.401677387688567719e-10 1.475412220882744638e-02 2.219496145602459691e+01 9.034484439875468445e+10 2.148504918418746091e-06
1.999728000000000000e+21 1.451828498543761309e-26 2.037010459458790795e-11 1.510351396572176614e-10 1.475400883598197363e-02 2.219507515631856975e+01 1.011262468685721893e+11 2.148504918418746091e-06
2.073792000000000000e+21 1.451816494620391141e-26 2.036993617168200666e-11 1.622940530887614909e-10 1.475388684775013649e-02 2.219519749850860180e+01 1.127270432824775238e+11 2.148504918418746091e-06
2.147856000000000000e+21 1.451803613009716798e-26 2.036975543424845765e-11 1.739424575156229175e-10 1.475375594014093766e-02 2.219532878783159902e+01 1.251761561724573822e+11 2.148504918418746091e-06
2.221920000000000000e+21 1.451789823968799355e-26 2.036956196497434785e-11 1.859782655127827427e-10 1.475361581089582388e-02 2.219546932783140036e+01 1.385023559021865540e+11 2.148504918418746091e-06
2.295984000000000000e+21 1.451775097911129604e-26 2.036935534874157485e-11 1.983993245648202273e-10 1.475346615934593555e-02 2.219561942050494707e+01 1.527342558169261475e+11 2.148504918418746091e-06
2.370048000000000000e+21 1.451759405425809613e-26 2.036913517289598435e-11 2.112034178749527549e-10 1.475330668660703934e-02 2.219577936610986768e+01 1.679003074525949402e+11 2.148504918418746091e-06
2.444112000000000000e+21 1.451742717282670839e-26 2.036890102731917327e-11 2.243882651958472241e-10 1.475313709563154038e-02 2.219594946311538664e+01 1.840287958056236572e+11 2.148504918418746091e-06
2.518176000000000000e+21 1.451725004432274699e-26 2.036865250442848658e-11 2.379515236816756880e-10 1.475295709120848578e-02 2.219613000820556081e+01 2.011478346649646301e+11 2.148504918418746091e-06
2.592240000000000000e+21 1.451706238005911711e-26 2.036838919917703017e-11 2.518907887608748080e-10 1.475276637996355764e-02 2.219632129628253381e+01 2.192853620071832275e+11 2.148504918418746091e-06
2.666304000000000000e+21 1.451686389317774546e-26 2.036811070908414084e-11 2.662035950290606740e-10 1.475256467038115783e-02 2.219652362044771365e+01 2.384691354579000244e+11 2.148504918418746091e-06
2.740368000000000000e+21 1.451665429887623611e-26 2.036781663455340173e-11 2.808874171615382413e-10 1.475235167303473767e-02 2.219673727177413625e+01 2.587267278204786682e+11 2.148504918418746091e-06
2.814432000000000000e+21 1.451643331426535895e-26 2.036750657867270369e-11 2.959396708448343962e-10 1.475212710044198489e-02 2.219696253945513575e+01 2.800855226718605347e+11 2.148504918418746091e-06
2.888496000000000000e+21 1.451620065854607125e-26 2.036718014746260625e-11 3.113577137266757539e-10 1.475189066724470754e-02 2.219719971062741593e+01 3.025727100322662964e+11 2.148504918418746091e-06
2.962560000000000000e+21 1.451595605306448405e-26 2.036683694995343993e-11 3.271388463838243026e-10 1.475164209026469213e-02 2.219744907031853387e+01 3.262152820979973755e+11 2.148504918418746091e-06
3.036624000000000000e+21 1.451569922131184210e-26 2.036647659818532237e-11 3.432803133071707763e-10 1.475138108850369660e-02 2.219771090145048831e+01 3.510400290493923340e+11 2.148504918418746091e-06
3.110688000000000000e+21 1.451542988892454109e-26 2.036609870720815191e-11 3.597793039034860487e-10 1.475110738314345388e-02 2.219798548484333267e+01 3.770735349358311157e+11 2.148504918418746091e-06
3.184752000000000000e+21 1.451514778368830322e-26 2.036570289508745917e-11 3.766329535132159533e-10 1.475082069754992016e-02 2.219827309921457825e+01 4.043421736408414917e+11 2.148504918418746091e-06
