# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 2.819093064938056102e-26 1.171962128671794261e-10 8.082748700991232221e-11 2.829496124507536667e-02 3.230838026082063913e+08 2.993204935688664913e+09
1.481280000000000000e+20 2.819086975718163336e-26 1.171959597242379530e-10 1.616545084549520479e-10 2.829490012817113473e-02 3.230842678481053114e+08 1.197280250194328690e+10
2.221920000000000000e+20 2.819076827086601853e-26 1.171955378221732185e-10 2.424805987778445835e-10 2.829479826734919434e-02 3.230850432464435101e+08 2.693874097668168640e+10
2.962560000000000000e+20 2.819062619145691893e-26 1.171949471652389214e-10 3.233052924365106950e-10 2.829465566363652609e-02 3.230861288009859324e+08 4.789093415679046631e+10
3.703200000000000000e+20 2.819044352038650912e-26 1.171941877593889008e-10 4.041281239116649243e-10 2.829447231847058430e-02 3.230875245086058378e+08 7.482926136087550354e+10
4.443840000000000000e+20 2.819022025949589565e-26 1.171932596122771107e-10 4.849486277144102836e-10 2.829424823369928316e-02 3.230892303652845621e+08 1.077535674301789246e+11
5.184480000000000000e+20 2.818995641103516871e-26 1.171921627332576456e-10 5.657663383938354181e-10 2.829398341158100363e-02 3.230912463661108613e+08 1.466636627312028503e+11
5.925120000000000000e+20 2.818965197766336195e-26 1.171908971333847661e-10 6.465807905446084342e-10 2.829367785478459352e-02 3.230935725052812099e+08 1.915593231571354370e+11
6.665760000000000000e+20 2.818930696244845824e-26 1.171894628254127702e-10 7.273915188145696937e-10 2.829333156638936045e-02 3.230962087760987282e+08 2.424402901362800903e+11
7.406400000000000000e+20 2.818892136886741259e-26 1.171878598237961737e-10 8.081980579123236259e-10 2.829294454988508928e-02 3.230991551709727049e+08 2.993062706334794922e+11
8.147040000000000000e+20 2.818849520080611775e-26 1.171860881446895296e-10 8.889999426148264553e-10 2.829251680917201778e-02 3.231024116814185381e+08 3.621569371527117310e+11
8.887680000000000000e+20 2.818802846255945011e-26 1.171841478059476091e-10 9.697967077749756868e-10 2.829204834856086093e-02 3.231059782980564237e+08 4.309919277440688477e+11
9.628320000000000000e+20 2.818752115883121230e-26 1.171820388271252204e-10 1.050587888329194112e-09 2.829153917277278663e-02 3.231098550106110573e+08 5.058108460081997070e+11
1.036896000000000000e+21 2.818697329472957586e-26 1.171797612294582351e-10 1.131373019305010298e-09 2.829098928693481521e-02 3.231140418079459071e+08 5.866132611105732422e+11
1.110960000000000000e+21 2.818638487577141474e-26 1.171773150358815284e-10 1.212151635828641145e-09 2.829039869658417361e-02 3.231185386780288219e+08 6.733987077821918945e+11
1.185024000000000000e+21 2.818575590788996206e-26 1.171747002710609539e-10 1.292923273132564212e-09 2.828976740767600098e-02 3.231233456078730226e+08 7.661666863226218262e+11
1.259088000000000000e+21 2.818508639742512146e-26 1.171719169613529417e-10 1.373687466563094891e-09 2.828909542657358570e-02 3.231284625836099386e+08 8.649166626153177490e+11
1.333152000000000000e+21 2.818437635112330643e-26 1.171689651348038776e-10 1.454443751587951185e-09 2.828838276004824043e-02 3.231338895904892087e+08 9.696480681274218750e+11
1.407216000000000000e+21 2.818362577613745748e-26 1.171658448211502326e-10 1.535191663803823239e-09 2.828762941527930563e-02 3.231396266128776670e+08 1.080360299935559204e+12
1.481280000000000000e+21 2.818283468002704793e-26 1.171625560518184593e-10 1.615930738943931905e-09 2.828683539985414955e-02 3.231456736342579126e+08 1.197052720728722656e+12
1.555344000000000000e+21 2.818200307075808387e-26 1.171590988599250696e-10 1.696660512885585868e-09 2.828600072176816818e-02 3.231520306372270584e+08 1.319724658808273193e+12
1.629408000000000000e+21 2.818113095670308693e-26 1.171554732802766086e-10 1.777380521657736699e-09 2.828512538942478879e-02 3.231586976034954786e+08 1.448375408107045166e+12
1.703472000000000000e+21 2.818021834664111730e-26 1.171516793493696293e-10 1.858090301448525223e-09 2.828420941163546296e-02 3.231656745138854384e+08 1.583004228194293457e+12
1.777536000000000000e+21 2.817926524975775645e-26 1.171477171053906919e-10 1.938789388612822304e-09 2.828325279761966654e-02 3.231729613483294249e+08 1.723610344295594482e+12
1.851600000000000000e+21 2.817827167564511290e-26 1.171435865882164936e-10 2.019477319679770047e-09 2.828225555700491015e-02 3.231805580858685374e+08 1.870192947316211670e+12
1.925664000000000000e+21 2.817723763430182795e-26 1.171392878394136098e-10 2.100153631360310377e-09 2.828121769982672867e-02 3.231884647046512365e+08 2.022751193841095703e+12
1.999728000000000000e+21 2.817616313613306420e-26 1.171348209022387268e-10 2.180817860554714663e-09 2.828013923652868480e-02 3.231966811819311380e+08 2.181284206135694092e+12
2.073792000000000000e+21 2.817504819195051705e-26 1.171301858216385902e-10 2.261469544360100924e-09 2.827902017796236900e-02 3.232052074940657616e+08 2.345791072181869141e+12
2.147856000000000000e+21 2.817389281297240893e-26 1.171253826442499273e-10 2.342108220077950422e-09 2.827786053538740296e-02 3.232140436165141463e+08 2.516270845669182129e+12
2.221920000000000000e+21 2.817269701082348356e-26 1.171204114183994729e-10 2.422733425221615152e-09 2.827666032047142924e-02 3.232231895238354802e+08 2.692722546035107422e+12
2.295984000000000000e+21 2.817146079753502320e-26 1.171152721941040469e-10 2.503344697523815408e-09 2.827541954529012164e-02 3.232326451896865964e+08 2.875145158486933594e+12
2.370048000000000000e+21 2.817018418554482568e-26 1.171099650230704768e-10 2.583941574944141070e-09 2.827413822232718518e-02 3.232424105868203640e+08 3.063537634001764160e+12
2.444112000000000000e+21 2.816886718769367445e-26 1.171044899586808634e-10 2.664523595676530142e-09 2.827281636447078611e-02 3.232524856871105433e+08 3.257898889326716309e+12
2.518176000000000000e+21 2.816750981720612202e-26 1.170988470559126805e-10 2.745090298156755982e-09 2.827145398499426865e-02 3.232628704616965652e+08 3.458227807023426758e+12
