# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 1.127637225975222441e-25 4.687848514687177044e-10 8.082748700991232221e-11 1.131798449803014667e-01 1.282158920335382372e+08 2.993204935688664913e+09
1.481280000000000000e+20 1.127634790287265334e-25 4.687838388969518120e-10 1.616545084549520479e-10 1.131796005126845389e-01 1.282160766641145051e+08 1.197280250194328690e+10
2.221920000000000000e+20 1.127630730834640741e-25 4.687821512886928741e-10 2.424805987778445835e-10 1.131791930693967774e-01 1.282163843811489046e+08 2.693874097668168640e+10
2.962560000000000000e+20 1.127625047658276757e-25 4.687797886609556855e-10 3.233052924365106950e-10 1.131786226545461044e-01 1.282168151837545782e+08 4.789093415679046631e+10
3.703200000000000000e+20 1.127617740815460365e-25 4.687767510375556032e-10 4.041281239116649243e-10 1.131778892738823372e-01 1.282173690706906021e+08 7.482926136087550354e+10
4.443840000000000000e+20 1.127608810379835826e-25 4.687730384491084430e-10 4.849486277144102836e-10 1.131769929347971326e-01 1.282180460403621495e+08 1.077535674301789246e+11
5.184480000000000000e+20 1.127598256441406748e-25 4.687686509330305824e-10 5.657663383938354181e-10 1.131759336463240145e-01 1.282188460908202976e+08 1.466636627312028503e+11
5.925120000000000000e+20 1.127586079106534478e-25 4.687635885335390644e-10 6.465807905446084342e-10 1.131747114191383741e-01 1.282197692197618037e+08 1.915593231571354370e+11
6.665760000000000000e+20 1.127572278497938330e-25 4.687578513016510806e-10 7.273915188145696937e-10 1.131733262655574418e-01 1.282208154245290160e+08 2.424402901362800903e+11
7.406400000000000000e+20 1.127556854754696504e-25 4.687514392951846946e-10 8.081980579123236259e-10 1.131717781995403571e-01 1.282219847021096796e+08 2.993062706334794922e+11
8.147040000000000000e+20 1.127539808032244710e-25 4.687443525787581185e-10 8.889999426148264553e-10 1.131700672366880711e-01 1.282232770491365343e+08 3.621569371527117310e+11
8.887680000000000000e+20 1.127521138502378004e-25 4.687365912237904365e-10 9.697967077749756868e-10 1.131681933942434437e-01 1.282246924618872702e+08 4.309919277440688477e+11
9.628320000000000000e+20 1.127500846353248492e-25 4.687281553085008814e-10 1.050587888329194112e-09 1.131661566910911465e-01 1.282262309362841100e+08 5.058108460081997070e+11
