# z rho(z) P(z) g(z) n(z) K(z)
9.296687372441987072e+18 5.511235579836098483e-27 7.578967203714564164e-13 1.342447805663962474e-12 5.489387816327116233e-03 3.213542569107554108e+07
9.405234310495692800e+18 5.511235573956183761e-27 7.578967195628595997e-13 1.358122053384821900e-12 5.489387810470511102e-03 3.213542571393230557e+07
9.515048628777226240e+18 5.511235567938127646e-27 7.578967187352655988e-13 1.373979311557929306e-12 5.489387804476312041e-03 3.213542573732606694e+07
9.626145125056831488e+18 5.511235561778685046e-27 7.578967178882284106e-13 1.390021716987609664e-12 5.489387798341286394e-03 3.213542576126943901e+07
9.738538769881561088e+18 5.511235555474533380e-27 7.578967170212911270e-13 1.406251431427147119e-12 5.489387792062126042e-03 3.213542578577532619e+07
9.852244708592666624e+18 5.511235549022274734e-27 7.578967161339863383e-13 1.422670641870093121e-12 5.489387785635445674e-03 3.213542581085694954e+07
9.967278263366477824e+18 5.511235542418428689e-27 7.578967152258355278e-13 1.439281560844964869e-12 5.489387779057778444e-03 3.213542583652782813e+07
1.008365493527918592e+19 5.511235535659434464e-27 7.578967142963489707e-13 1.456086426713397066e-12 5.489387772325578577e-03 3.213542586280180886e+07
1.020139040639532442e+19 5.511235528741649492e-27 7.578967133450256330e-13 1.473087503971716705e-12 5.489387765435217031e-03 3.213542588969305158e+07
1.032050054188146893e+19 5.511235521661340803e-27 7.578967123713524649e-13 1.490287083556153734e-12 5.489387758382976296e-03 3.213542591721607372e+07
1.044100139214376960e+19 5.511235514414692919e-27 7.578967113748044005e-13 1.507687483151500589e-12 5.489387751165055590e-03 3.213542594538569078e+07
1.056290919499088077e+19 5.511235506997797092e-27 7.578967103548441561e-13 1.525291047503432048e-12 5.489387743777562195e-03 3.213542597421711311e+07
1.068624037782212813e+19 5.511235499406654173e-27 7.578967093109217253e-13 1.543100148734475503e-12 5.489387736216512319e-03 3.213542600372587517e+07
1.081101155984080077e+19 5.511235491637172461e-27 7.578967082424744799e-13 1.561117186663601361e-12 5.489387728477830228e-03 3.213542603392788395e+07
1.093723955429414707e+19 5.511235483685160525e-27 7.578967071489259581e-13 1.579344589129678927e-12 5.489387720557342178e-03 3.213542606483944133e+07
1.106494137073866752e+19 5.511235475546331513e-27 7.578967060296865717e-13 1.597784812318576062e-12 5.489387712450777279e-03 3.213542609647720307e+07
1.119413421733227315e+19 5.511235467216298129e-27 7.578967048841529998e-13 1.616440341094142494e-12 5.489387704153765764e-03 3.213542612885822728e+07
1.132483550315313971e+19 5.511235458690568324e-27 7.578967037117075832e-13 1.635313689333046913e-12 5.489387695661833780e-03 3.213542616199997440e+07
1.145706284054571418e+19 5.511235449964543868e-27 7.578967025117181226e-13 1.654407400263537127e-12 5.489387686970401657e-03 3.213542619592031837e+07
1.159083404749365658e+19 5.511235441033521777e-27 7.578967012835374743e-13 1.673724046808083466e-12 5.489387678074783908e-03 3.213542623063755035e+07
1.172616715002141286e+19 5.511235431892684994e-27 7.578967000265035505e-13 1.693266231930161738e-12 5.489387668970183154e-03 3.213542626617037877e+07
1.186308038462290534e+19 5.511235422537105253e-27 7.578966987399385115e-13 1.713036588984951554e-12 5.489387659651690995e-03 3.213542630253796652e+07
1.200159220071903437e+19 5.511235412961738775e-27 7.578966974231487654e-13 1.733037782074187320e-12 5.489387650114283673e-03 3.213542633975993097e+07
1.214172126314388890e+19 5.511235403161421967e-27 7.578966960754240598e-13 1.753272506405167343e-12 5.489387640352817732e-03 3.213542637785632536e+07
1.228348645465949184e+19 5.511235393130872136e-27 7.578966946960380873e-13 1.773743488653870776e-12 5.489387630362030888e-03 3.213542641684770584e+07
1.242690687850088038e+19 5.511235382864679595e-27 7.578966932842469710e-13 1.794453487332463096e-12 5.489387620136535959e-03 3.213542645675509050e+07
1.257200186094993818e+19 5.511235372357309105e-27 7.578966918392894664e-13 1.815405293160946375e-12 5.489387609670819124e-03 3.213542649759999290e+07
1.271879095393975910e+19 5.511235361603096281e-27 7.578966903603864566e-13 1.836601729443224749e-12 5.489387598959238196e-03 3.213542653940444067e+07
1.286729393768940954e+19 5.511235350596242572e-27 7.578966888467407504e-13 1.858045652447554385e-12 5.489387587996018281e-03 3.213542658219097182e+07
1.301753082336896819e+19 5.511235339330813110e-27 7.578966872975360724e-13 1.879739951791365233e-12 5.489387576775247440e-03 3.213542662598265335e+07
1.316952185579671757e+19 5.511235327800733836e-27 7.578966857119370630e-13 1.901687550830728389e-12 5.489387565290875827e-03 3.213542667080309987e+07
1.332328751616672768e+19 5.511235315999788636e-27 7.578966840890890766e-13 1.923891407054208981e-12 5.489387553536712212e-03 3.213542671667646244e+07
1.347884852480890061e+19 5.511235303921614315e-27 7.578966824281169699e-13 1.946354512481406875e-12 5.489387541506418784e-03 3.213542676362749934e+07
1.363622584398107238e+19 5.511235291559699879e-27 7.578966807281253037e-13 1.969079894066126040e-12 5.489387529193509412e-03 3.213542681168150529e+07
1.379544068069383578e+19 5.511235278907379363e-27 7.578966789881974343e-13 1.992070614104268697e-12 5.489387516591345308e-03 3.213542686086439341e+07
1.395651448956780749e+19 5.511235265957831111e-27 7.578966772073953114e-13 2.015329770646413058e-12 5.489387503693132428e-03 3.213542691120268404e+07
1.411946897572535910e+19 5.511235252704074191e-27 7.578966753847588723e-13 2.038860497915368283e-12 5.489387490491916266e-03 3.213542696272351965e+07
1.428432609771499930e+19 5.511235239138961218e-27 7.578966735193051333e-13 2.062665966728442911e-12 5.489387476980578384e-03 3.213542701545467228e+07
1.445110807047044301e+19 5.511235225255179791e-27 7.578966716100286942e-13 2.086749384924723230e-12 5.489387463151835546e-03 3.213542706942457333e+07
1.461983736830427341e+19 5.511235211045245317e-27 7.578966696559002242e-13 2.111113997797344211e-12 5.489387448998231910e-03 3.213542712466232106e+07
1.479053672793592013e+19 5.511235196501493836e-27 7.578966676558656535e-13 2.135763088530716262e-12 5.489387434512135559e-03 3.213542718119769916e+07
1.496322915155621478e+19 5.511235181616086329e-27 7.578966656088470826e-13 2.160699978643033733e-12 5.489387419685736770e-03 3.213542723906118795e+07
1.513793790992652083e+19 5.511235166380997233e-27 7.578966635137407627e-13 2.185928028433775182e-12 5.489387404511042803e-03 3.213542729828397930e+07
1.531468654551464550e+19 5.511235150788010859e-27 7.578966613694170954e-13 2.211450637436513279e-12 5.489387388979870969e-03 3.213542735889801383e+07
1.549349887566726144e+19 5.511235134828722825e-27 7.578966591747200270e-13 2.237271244876993123e-12 5.489387373083848623e-03 3.213542742093595490e+07
1.567439899581946266e+19 5.511235118494527858e-27 7.578966569284664430e-13 2.263393330136589264e-12 5.489387356814406232e-03 3.213542748443126306e+07
1.585741128274120294e+19 5.511235101776618358e-27 7.578966546294450570e-13 2.289820413221058618e-12 5.489387340162770433e-03 3.213542754941816628e+07
1.604256039782288179e+19 5.511235084665983686e-27 7.578966522764166125e-13 2.316556055234966107e-12 5.489387323119965766e-03 3.213542761593169719e+07
1.622987129039801549e+19 5.511235067153396527e-27 7.578966498681123688e-13 2.343603858861471631e-12 5.489387305676802532e-03 3.213542768400772288e+07
1.641936920110536909e+19 5.511235049229415044e-27 7.578966474032336969e-13 2.370967468847786942e-12 5.489387287823875930e-03 3.213542775368294865e+07
1.661107966529033011e+19 5.511235030884377855e-27 7.578966448804521801e-13 2.398650572496323419e-12 5.489387269551562580e-03 3.213542782499492913e+07
1.680502851644531302e+19 5.511235012108393992e-27 7.578966422984074941e-13 2.426656900161468553e-12 5.489387250850010988e-03 3.213542789798211306e+07
1.700124188969171558e+19 5.511234992891340024e-27 7.578966396557074067e-13 2.454990225752346972e-12 5.489387231709137206e-03 3.213542797268385068e+07
1.719974622530114150e+19 5.511234973222855760e-27 7.578966369509274749e-13 2.483654367241284078e-12 5.489387212118623099e-03 3.213542804914041609e+07
1.740056827225844326e+19 5.511234953092337071e-27 7.578966341826092275e-13 2.512653187178263117e-12 5.489387192067906804e-03 3.213542812739303336e+07
1.760373509186621850e+19 5.511234932488931584e-27 7.578966313492602657e-13 2.541990593211408380e-12 5.489387171546177523e-03 3.213542820748388395e+07
1.780927406139152589e+19 5.511234911401531508e-27 7.578966284493531531e-13 2.571670538613538983e-12 5.489387150542372924e-03 3.213542828945615143e+07
1.801721287775447245e+19 5.511234889818768613e-27 7.578966254813245060e-13 2.601697022814779875e-12 5.489387129045168734e-03 3.213542837335402519e+07
1.822757956126132838e+19 5.511234867729005620e-27 7.578966224435739844e-13 2.632074091941588757e-12 5.489387107042974397e-03 3.213542845922274515e+07
1.844040245937972838e+19 5.511234845120334765e-27 7.578966193344639889e-13 2.662805839361879818e-12 5.489387084523929608e-03 3.213542854710859060e+07
