# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 2.255274451950442126e-25 9.375697029374343748e-10 8.082748700991232221e-11 2.263596899606026558e-01 8.077095065205167234e+07 2.993204935688664913e+09
1.481280000000000000e+20 2.255269580574527914e-25 9.375676777939025901e-10 1.616545084549520479e-10 2.263592010253688003e-01 8.077106696202640235e+07 1.197280250194328690e+10
2.221920000000000000e+20 2.255261461669278727e-25 9.375643025773847142e-10 2.424805987778445835e-10 2.263583861387932772e-01 8.077126081161095202e+07 2.693874097668168640e+10
2.962560000000000000e+20 2.255250095316551218e-25 9.375595773219103370e-10 3.233052924365106950e-10 2.263572453090919590e-01 8.077153220024654269e+07 4.789093415679046631e+10
3.703200000000000000e+20 2.255235481630917974e-25 9.375535020751101725e-10 4.041281239116649243e-10 2.263557785477644246e-01 8.077188112715153396e+07 7.482926136087550354e+10
4.443840000000000000e+20 2.255217620759669356e-25 9.375460768982158520e-10 4.849486277144102836e-10 2.263539858695940155e-01 8.077230759132120013e+07 1.077535674301789246e+11
5.184480000000000000e+20 2.255196512882811201e-25 9.375373018660603376e-10 5.657663383938354181e-10 2.263518672926477793e-01 8.077281159152778983e+07 1.466636627312028503e+11
5.925120000000000000e+20 2.255172158213066201e-25 9.375271770670770949e-10 6.465807905446084342e-10 2.263494228382764706e-01 8.077339312632039189e+07 1.915593231571354370e+11
6.665760000000000000e+20 2.255144556995873904e-25 9.375157026033011273e-10 7.273915188145696937e-10 2.263466525311146338e-01 8.077405219402474165e+07 2.424402901362800903e+11
7.406400000000000000e+20 2.255113709509390252e-25 9.375028785903683553e-10 8.081980579123236259e-10 2.263435563990804644e-01 8.077478879274325073e+07 2.993062706334794922e+11
8.147040000000000000e+20 2.255079616064487124e-25 9.374887051575152031e-10 8.889999426148264553e-10 2.263401344733758924e-01 8.077560292035470903e+07 3.621569371527117310e+11
8.887680000000000000e+20 2.255042277004753254e-25 9.374731824475796323e-10 9.697967077749756868e-10 2.263363867884866099e-01 8.077649457451418042e+07 4.309919277440688477e+11
9.628320000000000000e+20 2.255001692706494688e-25 9.374563106170007289e-10 1.050587888329194112e-09 2.263323133821820432e-01 8.077746375265283883e+07 5.058108460081997070e+11
