# z rho(z) P(z) g(z) n(z) K(z) phi(z)
3.184752000000000000e+21 5.630695819817253492e-25 2.340810362371418307e-09 3.469425270343633061e-09 5.651474298101535343e-01 4.388809700304123759e+07 5.529531593235010742e+12
3.258816000000000000e+21 5.630343763850748558e-25 2.340664004571085775e-09 3.549813462804893640e-09 5.651120942972814865e-01 4.388992648344710469e+07 5.789468166342719727e+12
3.332880000000000000e+21 5.629983667800644985e-25 2.340514304322216750e-09 3.630181277899546355e-09 5.650759518090858746e-01 4.389179794188883156e+07 6.055357858772056641e+12
3.406944000000000000e+21 5.629615535278778651e-25 2.340361263126335122e-09 3.710528257545771367e-09 5.650390027080831601e-01 4.389371137298887223e+07 6.327199144309059570e+12
3.481008000000000000e+21 5.629239369977075176e-25 2.340204882518259629e-09 3.790853944000042544e-09 5.650012473648281519e-01 4.389566677124803513e+07 6.604990462852747070e+12
3.555072000000000000e+21 5.628855175667535218e-25 2.340045164066097650e-09 3.871157879864480276e-09 5.649626861579130077e-01 4.389766413104509562e+07 6.888730220377970703e+12
3.629136000000000000e+21 5.628462956202246419e-25 2.339882109371251827e-09 3.951439608094188561e-09 5.649233194739680108e-01 4.389970344663633406e+07 7.178416789007632812e+12
3.703200000000000000e+21 5.628062715513379727e-25 2.339715720068415098e-09 4.031698672004593338e-09 5.648831477076611263e-01 4.390178471215510368e+07 7.474048507061300781e+12
3.777264000000000000e+21 5.627654457613182969e-25 2.339545997825573592e-09 4.111934615278753527e-09 5.648421712616980006e-01 4.390390792161137611e+07 7.775623679055208008e+12
3.851328000000000000e+21 5.627238186589009797e-25 2.339372944341932892e-09 4.192146981974674957e-09 5.648003905463221397e-01 4.390607306891719252e+07 8.083140575702253906e+12
3.925392000000000000e+21 5.626813906607747995e-25 2.339196561349765538e-09 4.272335316532602792e-09 5.647578059797599970e-01 4.390828014786313474e+07 8.396597433925943359e+12
3.999456000000000000e+21 5.626381621919534222e-25 2.339016850615951237e-09 4.352499163782308161e-09 5.647144179885936754e-01 4.391052915209852159e+07 8.715992456970121094e+12
4.073520000000000000e+21 5.625941336852764594e-25 2.338833813939903953e-09 4.432638068950354118e-09 5.646702270072601060e-01 4.391282007515687495e+07 9.041323814321132812e+12
4.147584000000000000e+21 5.625493055814099272e-25 2.338647453153574385e-09 4.512751577667369864e-09 5.646252334780513804e-01 4.391515291045540571e+07 9.372589641833871094e+12
4.221648000000000000e+21 5.625036783288455118e-25 2.338457770121446658e-09 4.592839235975274518e-09 5.645794378511143075e-01 4.391752765129452944e+07 9.709788041759921875e+12
4.295712000000000000e+21 5.624572523839016712e-25 2.338264766740541221e-09 4.672900590334534800e-09 5.645328405844510788e-01 4.391994429085735232e+07 1.005291708274757227e+13
4.369776000000000000e+21 5.624100282107225335e-25 2.338068444940413189e-09 4.752935187631369769e-09 5.644854421439188252e-01 4.392240282220911980e+07 1.040197479984180859e+13
4.443840000000000000e+21 5.623620062812787235e-25 2.337868806683152347e-09 4.832942575184970463e-09 5.644372430032297272e-01 4.392490323829672486e+07 1.075695919450665625e+13
