# z rho(z) P(z) g(z) n(z) K(z) phi(z)
7.406400000000000000e+19 5.638186129876113352e-26 2.343924257343589039e-10 8.082748700991232221e-11 5.658992249015074721e-02 2.035300418930796385e+08 2.993204935688664913e+09
1.481280000000000000e+20 5.638173951436327820e-26 2.343919194484760094e-10 1.616545084549520479e-10 5.658980025634228334e-02 2.035303349758506119e+08 1.197280250194328690e+10
2.221920000000000000e+20 5.638153654173206001e-26 2.343910756443464887e-10 2.424805987778445835e-10 5.658959653469840256e-02 2.035308234461947978e+08 2.693874097668168640e+10
2.962560000000000000e+20 5.638125238291386081e-26 2.343898943304779461e-10 3.233052924365106950e-10 5.658931132727307300e-02 2.035315073027041852e+08 4.789093415679046631e+10
3.703200000000000000e+20 5.638088704077304119e-26 2.343883755187778533e-10 4.041281239116649243e-10 5.658894463694118943e-02 2.035323865434090793e+08 7.482926136087550354e+10
4.443840000000000000e+20 5.638044051899181425e-26 2.343865192245543249e-10 4.849486277144102836e-10 5.658849646739858713e-02 2.035334611657778621e+08 1.077535674301789246e+11
5.184480000000000000e+20 5.637991282207036037e-26 2.343843254665153946e-10 5.657663383938354181e-10 5.658796682316202808e-02 2.035347311667167544e+08 1.466636627312028503e+11
5.925120000000000000e+20 5.637930395532673538e-26 2.343817942667695839e-10 6.465807905446084342e-10 5.658735570956920091e-02 2.035361965425696075e+08 1.915593231571354370e+11
6.665760000000000000e+20 5.637861392489693944e-26 2.343789256508256437e-10 7.273915188145696937e-10 5.658666313277874171e-02 2.035378572891176641e+08 2.424402901362800903e+11
7.406400000000000000e+20 5.637784273773483666e-26 2.343757196475924507e-10 8.081980579123236259e-10 5.658588909977019937e-02 2.035397134015792012e+08 2.993062706334794922e+11
8.147040000000000000e+20 5.637699040161225846e-26 2.343721762893791110e-10 8.889999426148264553e-10 5.658503361834405637e-02 2.035417648746091723e+08 3.621569371527117310e+11
8.887680000000000000e+20 5.637605692511891170e-26 2.343682956118952700e-10 9.697967077749756868e-10 5.658409669712173573e-02 2.035440117022986710e+08 4.309919277440688477e+11
9.628320000000000000e+20 5.637504231766244756e-26 2.343640776542505441e-10 1.050587888329194112e-09 5.658307834554559407e-02 2.035464538781746328e+08 5.058108460081997070e+11
1.036896000000000000e+21 5.637394658945918617e-26 2.343595224589165736e-10 1.131373019305010298e-09 5.658197857386965818e-02 2.035490913952215016e+08 5.866132611105732422e+11
1.110960000000000000e+21 5.637276975154285245e-26 2.343546300717631084e-10 1.212151635828641145e-09 5.658079739316837498e-02 2.035519242458595634e+08 6.733987077821918945e+11
1.185024000000000000e+21 5.637151181577995855e-26 2.343494005421220112e-10 1.292923273132564212e-09 5.657953481535202972e-02 2.035549524219076037e+08 7.661666863226218262e+11
1.259088000000000000e+21 5.637017279485026587e-26 2.343438339227059351e-10 1.373687466563094891e-09 5.657819085314719221e-02 2.035581759146290123e+08 8.649166626153177490e+11
1.333152000000000000e+21 5.636875270224662433e-26 2.343379302696078069e-10 1.454443751587951185e-09 5.657676552009649473e-02 2.035615947147316039e+08 9.696480681274218750e+11
1.407216000000000000e+21 5.636725155227492645e-26 2.343316896423005169e-10 1.535191663803823239e-09 5.657525883055862514e-02 2.035652088123670816e+08 1.080360299935559204e+12
1.481280000000000000e+21 5.636566936005410735e-26 2.343251121036369703e-10 1.615930738943931905e-09 5.657367079970830603e-02 2.035690181971301138e+08 1.197052720728722656e+12
1.555344000000000000e+21 5.636400614151616773e-26 2.343181977198501908e-10 1.696660512885585868e-09 5.657200144353634330e-02 2.035730228580576479e+08 1.319724658808273193e+12
1.629408000000000000e+21 5.636226191340617386e-26 2.343109465605532690e-10 1.777380521657736699e-09 5.657025077884958453e-02 2.035772227836279273e+08 1.448375408107045166e+12
1.703472000000000000e+21 5.636043669328224608e-26 2.343033586987393103e-10 1.858090301448525223e-09 5.656841882327093285e-02 2.035816179617597163e+08 1.583004228194293457e+12
1.777536000000000000e+21 5.635853049951551289e-26 2.342954342107814356e-10 1.938789388612822304e-09 5.656650559523934002e-02 2.035862083798112273e+08 1.723610344295594482e+12
1.851600000000000000e+21 5.635654335129023727e-26 2.342871731764330389e-10 2.019477319679770047e-09 5.656451111400983417e-02 2.035909940245792270e+08 1.870192947316211670e+12
1.925664000000000000e+21 5.635447526860366737e-26 2.342785756788272713e-10 2.100153631360310377e-09 5.656243539965347122e-02 2.035959748822981417e+08 2.022751193841095703e+12
1.999728000000000000e+21 5.635232627226615136e-26 2.342696418044775569e-10 2.180817860554714663e-09 5.656027847305739042e-02 2.036011509386386275e+08 2.181284206135694092e+12
2.073792000000000000e+21 5.635009638390105706e-26 2.342603716432772838e-10 2.261469544360100924e-09 5.655804035592476575e-02 2.036065221787067652e+08 2.345791072181869141e+12
2.147856000000000000e+21 5.634778562594484081e-26 2.342507652884999580e-10 2.342108220077950422e-09 5.655572107077483368e-02 2.036120885870428979e+08 2.516270845669182129e+12
2.221920000000000000e+21 5.634539402164700156e-26 2.342408228367991009e-10 2.422733425221615152e-09 5.655332064094288624e-02 2.036178501476201117e+08 2.692722546035107422e+12
2.295984000000000000e+21 5.634292159507006937e-26 2.342305443882082490e-10 2.503344697523815408e-09 5.655083909058027103e-02 2.036238068438434303e+08 2.875145158486933594e+12
2.370048000000000000e+21 5.634036837108967433e-26 2.342199300461410571e-10 2.583941574944141070e-09 5.654827644465439118e-02 2.036299586585481465e+08 3.063537634001764160e+12
2.444112000000000000e+21 5.633773437538738334e-26 2.342089799173618303e-10 2.664523595676530142e-09 5.654563272894159998e-02 2.036363055740157962e+08 3.257898889326716309e+12
2.518176000000000000e+21 5.633501963441227848e-26 2.341976941118255160e-10 2.745090298156755982e-09 5.654290796998857199e-02 2.036428475720654726e+08 3.458227807023426758e+12
2.592240000000000000e+21 5.633222417546259874e-26 2.341860727430171068e-10 2.825641221069895496e-09 5.654010219519429309e-02 2.036495846338554323e+08 3.664523235462799805e+12
2.666304000000000000e+21 5.632934802664852368e-26 2.341741159277971640e-10 2.906175903357794034e-09 5.653721543277266670e-02 2.036565167399715781e+08 3.876783988862093750e+12
2.740368000000000000e+21 5.632639121688101543e-26 2.341618237863552892e-10 2.986693884226521597e-09 5.653424771174134916e-02 2.036636438704526424e+08 4.095008847323380859e+12
2.814432000000000000e+21 5.632335377587188757e-26 2.341491964422102789e-10 3.067194703153822833e-09 5.653119906192178440e-02 2.036709660047886968e+08 4.319196556833549805e+12
2.888496000000000000e+21 5.632023573413374774e-26 2.341362340222102285e-10 3.147677899896550501e-09 5.652806951393919005e-02 2.036784831219194829e+08 4.549345829264302734e+12
2.962560000000000000e+21 5.631703712298005499e-26 2.341229366565322216e-10 3.228143014498103066e-09 5.652485909922257828e-02 2.036861952002327144e+08 4.785455342399040039e+12
